wkt_geom,id,building_id,level,age,access_point,time,comment,function,population
LINESTRING(30.316677 59.970752;30.317741 59.970721;30.317720 59.970487;30.317690 59.970314;30.317218 59.970327;30.317229 59.970555;30.316653 59.970575;30.316676 59.970752;30.316676 59.970752),30,17,1,3,11,1,group M,production,1
LINESTRING(30.317211 59.970089;30.317666 59.970078;30.317741 59.970721;30.316677 59.970752;30.316653 59.970575;30.317229 59.970555;30.317211 59.970089;30.317211 59.970089),32,17,2,3,11,1,group M,production,1
LINESTRING(30.317211 59.970089;30.317666 59.970078;30.317741 59.970721;30.316677 59.970752;30.316653 59.970575;30.317229 59.970555;30.317211 59.970089;30.317211 59.970089),33,17,3,3,11,1,group M,production,1
LINESTRING(30.317211 59.970089;30.317666 59.970078;30.317741 59.970721;30.316677 59.970752;30.316653 59.970575;30.317229 59.970555;30.317211 59.970089;30.317211 59.970089),34,17,4,3,11,1,group M,production,1
LINESTRING(30.317218 59.970327;30.317211 59.970089;30.317666 59.970078;30.317690 59.970314;30.317218 59.970327;30.317218 59.970327),31,17,1,2,12,4,gallery,art,1
LINESTRING(30.317701 59.970385;30.317690 59.970314;30.317863 59.970314;30.317969 59.970589;30.317868 59.970592;30.317888 59.970720;30.318032 59.970722;30.318034 59.970747;30.318029 59.970798;30.317749 59.970798;30.317720 59.970487;30.317778 59.970485;30.317778 59.970397;30.317701 59.970385;30.317690 59.970314;30.317701 59.970385),35,16,1,0,13,n/a,n/a,empty,0
LINESTRING(30.317701 59.970385;30.317690 59.970314;30.317863 59.970314;30.317969 59.970589;30.317868 59.970592;30.317888 59.970720;30.318032 59.970722;30.318034 59.970747;30.318029 59.970798;30.317749 59.970798;30.317720 59.970487;30.317778 59.970485;30.317778 59.970397;30.317701 59.970385;30.317690 59.970314;30.317701 59.970385),36,16,2,0,13,n/a,n/a,empty,0
LINESTRING(30.317981 59.969251;30.318271 59.969211;30.318644 59.969880;30.318354 59.969920;30.317981 59.969251;30.317981 59.969251),37,13,1,0,14,n/a,n/a,empty,0
LINESTRING(30.317981 59.969251;30.318271 59.969211;30.318644 59.969880;30.318354 59.969920;30.317981 59.969251;30.317981 59.969251),38,13,2,0,14,n/a,n/a,empty,0
LINESTRING(30.317981 59.969251;30.318271 59.969211;30.318644 59.969880;30.318354 59.969920;30.317981 59.969251;30.317981 59.969251),39,13,3,0,14,n/a,n/a,empty,0
LINESTRING(30.317981 59.969251;30.318271 59.969211;30.318644 59.969880;30.318354 59.969920;30.317981 59.969251;30.317981 59.969251),40,13,4,0,14,n/a,n/a,empty,0
LINESTRING(30.317548 59.969800;30.317245 59.969291;30.317601 59.969237;30.317904 59.969747;30.317548 59.969800;30.317548 59.969800),41,19,1,3,15,1,n/a,office,1
LINESTRING(30.317548 59.969800;30.317245 59.969291;30.317601 59.969237;30.317904 59.969747;30.317548 59.969800;30.317548 59.969800),42,19,2,0,15,0,n/a,empty,0
LINESTRING(30.317548 59.969800;30.317245 59.969291;30.317601 59.969237;30.317904 59.969747;30.317548 59.969800;30.317548 59.969800),43,19,3,0,15,0,n/a,empty,0
LINESTRING(30.317548 59.969800;30.317245 59.969291;30.317601 59.969237;30.317904 59.969747;30.317548 59.969800;30.317548 59.969800),44,19,4,0,15,0,n/a,empty,0
LINESTRING(30.316339 59.970398;30.316299 59.970289;30.316520 59.970267;30.316566 59.970378;30.316339 59.970398;30.316339 59.970398),46,21,1,0,16,n/a,n/a,empty,0
LINESTRING(30.316238 59.969786;30.316325 59.969988;30.316173 59.970004;30.316090 59.969803;30.316238 59.969786;30.316238 59.969786),47,21,1,0,17,n/a,n/a,empty,0
LINESTRING(30.316173 59.970004;30.316394 59.969981;30.316520 59.970267;30.316299 59.970289;30.316173 59.970004;30.316173 59.970004),48,21,1,3,17,1,laborotory,production,1
LINESTRING(30.316173 59.970004;30.316394 59.969981;30.316520 59.970267;30.316299 59.970289;30.316173 59.970004;30.316173 59.970004),49,21,2,3,17,1,laborotory,production,1
LINESTRING(30.316010 59.969787;30.316054 59.969908;30.315705 59.969939;30.315666 59.969817;30.316010 59.969787;30.316010 59.969787),50,22,1,3,18,1,stolovaya,restaurant,1
LINESTRING(30.316054 59.969908;30.316161 59.970204;30.315807 59.970233;30.315705 59.969939;30.316054 59.969908;30.316054 59.969908),51,22,1,0,19,n/a,n/a,empty,0
LINESTRING(30.316054 59.969908;30.316161 59.970204;30.315807 59.970233;30.315705 59.969939;30.316054 59.969908;30.316054 59.969908),52,22,2,0,19,n/a,n/a,empty,0
LINESTRING(30.315807 59.970233;30.315880 59.970459;30.316284 59.970424;30.316201 59.970200;30.315807 59.970233;30.315807 59.970233),53,22,1,2,19,1,FabLab,education,1
LINESTRING(30.315807 59.970233;30.315880 59.970459;30.316284 59.970424;30.316201 59.970200;30.315807 59.970233;30.315807 59.970233),54,22,2,3,19,1,n/a,office,1
LINESTRING(30.315807 59.970233;30.315880 59.970459;30.316284 59.970424;30.316201 59.970200;30.315807 59.970233;30.315807 59.970233),55,22,3,3,19,1,n/a,office,1
