access_point1,access_point2,dist
27,13,21845.674
27,32,62400.336
27,33,40740.44
27,14,17535.936
27,15,13719.132
27,7,25398.262
27,8,16106.69
27,9,14626.955
27,16,10556.491
27,17,5097.378
27,18,2400.564
27,19,6563.2773
27,20,1662.9913
27,21,9344.493
27,34,11013.24
27,35,61573.426
27,36,69962.875
27,37,20045.248
27,38,74737.63
27,39,80452.37
27,41,12725.119
28,1,37144.418
28,2,30893.734
28,3,26870.922
28,4,18877.62
28,5,19909.984
28,6,19547.242
28,31,14147.029
28,30,15004.401
28,29,2506.12
28,24,1074.367
28,23,73407.25
28,25,81594.21
28,27,80753.85
28,26,77560.87
28,22,4901.3716
28,10,27567.549
28,11,50527.004
28,12,81311.15
28,13,89331.86
28,32,66553.39
28,33,90846.53
28,14,73778.09
28,15,70282.38
28,7,45531.496
28,8,71312.375
28,9,71124.15
28,16,88682.37
28,17,79291.48
28,18,78789.1
28,19,84541.586
28,20,78801.06
28,21,95426.8
28,34,73799.61
28,35,7253.343
28,36,1074.367
28,37,77721.695
28,38,2964.9045
28,39,44824.67
28,41,79961.945
26,1,28476.703
26,2,34544.695
26,3,38653.934
26,4,47447.453
26,5,64578.547
26,6,64161.54
26,31,53305.055
26,30,59395.332
26,29,71104.26
26,24,75345.83
26,23,13344.195
26,25,2376.4883
26,27,1230.126
26,28,77596.69
26,22,84370.14
26,10,77002.29
26,11,62780.94
26,12,7815.4756
26,13,14897.567
26,32,52124.81
26,33,33711.793
26,14,11906.501
26,15,8768.234
26,7,21049.184
26,8,12502.349
26,9,11216.452
26,16,4733.0654
26,17,1445.0801
26,18,331.94916
26,19,2446.537
26,20,158.39192
26,21,4223.4443
26,34,6573.8955
26,35,62709.2
26,36,75345.83
26,37,17480.084
26,38,82845.35
26,39,66359.68
26,41,7481.349
22,1,67410.61
22,2,59307.742
22,3,53833.43
22,4,42301.46
22,5,44298.418
22,6,43765.453
22,31,34934.86
22,30,36832.758
22,29,13190.101
22,24,9384.776
22,23,110897.17
22,25,119056.414
22,27,117065.21
22,28,4913.2466
22,26,113243.7
22,10,9303.979
22,11,24802.373
22,12,114548.805
22,13,121584.945
22,32,37833.312
22,33,59346.832
22,14,108098.01
22,15,104690.34
22,7,77590.77
22,8,107502.26
22,9,107348.74
22,16,120036.41
22,17,114052.55
22,18,113879.21
22,19,117300.75
22,20,114145.75
22,21,124178.89
22,34,108074.27
22,35,23319.496
22,36,9384.776
22,37,116744.21
22,38,264.0
22,39,20508.113
22,41,113531.93
10,1,82015.266
10,2,91512.42
10,3,92249.9
10,4,77941.08
10,5,80752.99
10,6,80085.8
10,31,68353.375
10,30,71189.76
10,29,37152.492
10,24,31182.105
10,23,80764.92
10,25,95175.85
10,27,91534.6
10,28,23219.982
10,26,84123.67
10,22,8050.0244
10,11,5783.6416
10,12,79983.83
10,13,85011.76
10,32,14025.867
10,33,30010.037
10,14,74604.91
10,15,71647.34
10,7,70329.28
10,8,76136.62
10,9,76051.01
10,16,83610.516
10,17,84004.13
10,18,84963.62
10,19,88571.12
10,20,85806.79
10,21,85851.445
10,34,74716.45
10,35,52479.832
10,36,31182.105
10,37,87707.3
10,38,10697.332
10,39,3490.9775
10,41,79403.4
11,1,46335.645
11,2,54701.55
11,3,60684.266
11,4,74296.44
11,5,103428.32
11,6,102786.41
11,31,83912.15
11,30,94783.81
11,29,64076.254
11,24,57523.855
11,23,46647.664
11,25,64011.78
11,27,59769.44
11,28,48308.016
11,26,50675.633
11,22,27367.137
11,10,5734.909
11,12,42306.29
11,13,43771.37
11,32,1860.0
11,33,9242.916
11,14,38890.2
11,15,37150.13
11,7,36709.348
11,8,42073.484
11,9,42068.74
11,16,44803.926
11,17,50333.613
11,18,51869.367
11,19,57067.258
11,20,52874.836
11,21,48245.055
11,34,39136.816
11,35,80884.04
11,36,57523.855
11,37,52900.805
11,38,31575.521
11,39,312.0
11,41,42202.68
12,1,23846.533
12,2,30430.229
12,3,35213.707
12,4,46135.63
12,5,69361.63
12,6,68842.484
12,31,53904.168
12,30,62568.99
12,29,80401.164
12,24,88322.125
12,23,16641.953
12,25,16661.9
12,27,13514.653
12,28,93131.16
12,26,6965.696
12,22,109736.85
12,10,44547.344
12,11,36192.508
12,13,3041.1719
12,32,31720.807
12,33,21972.197
12,14,3373.3123
12,15,1957.9397
12,7,16545.402
12,8,13617.644
12,9,13585.307
12,16,1029.6168
12,17,3477.1
12,18,7581.36
12,19,3959.517
12,20,8420.471
12,21,3707.4275
12,34,990.41034
12,35,67199.836
12,36,88322.125
12,37,21450.307
12,38,106273.695
12,39,37642.18
12,41,118.79394
13,1,29155.19
13,2,36611.473
13,3,42077.516
13,4,54699.125
13,5,82095.27
13,6,81498.11
13,31,63756.547
13,30,74064.57
13,29,95277.445
13,24,105236.44
13,23,23901.922
13,25,28913.918
13,27,24718.045
13,28,111244.98
13,26,15549.914
13,22,132874.42
13,10,41537.645
13,11,32189.094
13,12,4035.2605
13,32,30273.291
13,33,24659.385
13,14,5652.5454
13,15,4048.1208
13,7,20984.863
13,8,19157.033
13,9,19180.39
13,16,6787.887
13,17,11383.989
13,18,16844.178
13,19,11468.675
13,20,17822.66
13,21,11009.621
13,34,2895.9556
13,35,79388.84
13,36,105236.44
13,37,29539.604
13,38,128336.32
13,39,33384.41
13,41,3822.6643
32,1,35850.11
32,2,44231.254
32,3,50360.332
32,4,64548.637
32,5,95618.99
32,6,94950.27
32,31,74743.6
32,30,86470.97
32,29,87727.17
32,24,80354.08
32,23,38264.043
32,25,60967.625
32,27,55921.95
32,28,69640.836
32,26,44634.703
32,22,43833.773
32,10,13950.167
32,11,1860.0
32,12,34207.83
32,13,35108.473
32,33,2979.273
32,14,29351.002
32,15,27897.006
32,7,26584.91
32,8,33173.555
32,9,33221.27
32,16,38570.84
32,17,44618.887
32,18,46343.105
32,19,53819.22
32,20,47494.082
32,21,44257.56
32,34,30017.744
32,35,92370.68
32,36,80354.08
32,37,44701.99
32,38,49230.883
32,39,3612.0
32,41,33898.47
33,1,20316.557
33,2,27034.85
33,3,32122.42
33,4,44182.992
33,5,71154.64
33,6,70583.445
33,31,53061.973
33,30,63363.125
33,29,85188.164
33,24,95751.68
33,23,23085.852
33,25,44718.684
33,27,40047.61
33,28,82104.26
33,26,29365.36
33,22,56793.797
33,10,23777.686
33,11,8036.915
33,12,19180.88
33,13,19854.006
33,32,3293.1323
33,14,14703.033
33,15,14081.271
33,7,13322.496
33,8,18723.783
33,9,18807.92
33,16,23888.781
33,17,29504.29
33,18,31104.768
33,19,38795.816
33,20,32143.848
33,21,30234.773
33,34,15537.903
33,35,68769.555
33,36,95751.68
33,37,28293.223
33,38,62270.707
33,39,10694.646
33,41,18787.775
14,1,13663.431
14,2,18961.432
14,3,23053.168
14,4,32851.652
14,5,54772.88
14,6,54305.266
14,31,40156.88
14,30,48557.855
14,29,66843.27
14,24,75387.445
14,23,11125.082
14,25,24417.041
14,27,20682.53
14,28,81069.79
14,26,12136.429
14,22,102397.01
14,10,39017.145
14,11,23346.094
14,12,3311.003
14,13,4460.651
14,32,17093.756
14,33,8909.016
14,15,347.4994
14,7,8333.19
14,8,7856.686
14,9,7925.508
14,16,7326.616
14,17,12244.157
14,18,13565.376
14,19,13480.537
14,20,14379.996
14,21,12956.768
14,34,846.66003
14,35,53228.26
14,36,75387.445
14,37,15100.777
14,38,97637.92
14,39,26202.008
14,41,2891.2566
15,1,11581.811
15,2,16405.596
15,3,20126.02
15,4,29004.879
15,5,48683.688
15,6,48258.06
15,31,35622.266
15,30,43147.754
15,29,59695.27
15,24,67197.56
15,23,8528.489
15,25,19297.762
15,27,16073.799
15,28,72312.41
15,26,8731.023
15,22,91377.06
15,10,41956.605
15,11,26539.516
15,12,2262.5337
15,13,4141.2607
15,32,19555.484
15,33,9466.184
15,14,291.91824
15,7,6715.128
15,8,5818.661
15,9,5858.591
15,16,5955.7144
15,17,8820.483
15,18,9975.194
15,19,11599.387
15,20,10665.59
15,21,11142.508
15,34,219.0964
15,35,47467.793
15,36,67197.56
15,37,12034.574
15,38,87074.37
15,39,29480.846
15,41,1754.6688
7,1,792.4739
7,2,2631.7852
7,3,4525.158
7,4,9882.885
7,5,23649.361
7,6,23393.863
7,31,14480.519
7,30,20118.7
7,29,34215.082
7,24,41318.2
7,23,7541.1855
7,25,30190.543
7,27,26574.307
7,28,46816.1
7,26,17205.24
7,22,69767.61
7,10,71291.945
7,11,44949.594
7,12,14729.819
7,13,19995.686
