access_point1,access_point2,dist
27,12,14708.823
27,13,21845.674
27,32,33093.13
27,33,31430.566
27,14,17535.936
27,15,13719.132
27,7,25398.262
27,8,16106.69
27,9,14626.955
27,16,10556.491
27,17,5097.378
27,18,2400.564
27,19,6563.2773
27,20,1662.9913
27,21,9344.493
27,34,11013.24
27,35,15760.917
27,36,7769.0605
27,37,20045.248
27,38,2676.8296
27,39,18772.973
27,41,12725.119
28,1,37144.418
28,2,30893.734
28,3,26870.922
28,4,18877.62
28,5,19909.984
28,6,19547.242
28,31,14147.029
28,30,15004.401
28,29,2506.12
28,24,1074.367
28,23,8331.774
28,25,8013.369
28,27,7219.502
28,26,7783.942
28,22,4901.448
28,10,27568.053
28,11,35110.793
28,12,26971.457
28,13,35799.824
28,32,51059.723
28,33,48608.824
28,14,34036.38
28,15,30381.402
28,7,36333.047
28,8,17086.285
28,9,14961.648
28,16,22008.502
28,17,14168.096
28,18,9092.181
28,19,14638.067
28,20,7016.644
28,21,17875.879
28,34,22386.963
28,35,7253.343
28,36,1074.367
28,37,14486.36
28,38,2964.9812
28,39,34017.805
28,41,24722.973
26,1,28476.703
26,2,34544.695
26,3,38653.934
26,4,37707.633
26,5,38781.707
26,6,38364.7
26,31,31935.236
26,30,33236.074
26,29,13786.958
26,24,10832.215
26,23,13344.195
26,25,2376.4883
26,27,1230.126
26,28,7504.4893
26,22,3147.9084
26,10,16540.525
26,11,11683.627
26,12,7815.4756
26,13,14897.567
26,32,22385.535
26,33,23749.205
26,14,11906.501
26,15,8768.234
26,7,21049.184
26,8,12502.349
26,9,11216.452
26,16,4733.0654
26,17,1445.0801
26,18,331.94916
26,19,2446.537
26,20,158.39192
26,21,4223.4443
26,34,6573.8955
26,35,22442.322
26,36,10832.215
26,37,17480.084
26,38,2279.848
26,39,10926.516
26,41,7481.349
22,1,49405.39
22,2,59307.484
22,3,53833.17
22,4,42301.2
22,5,44298.16
22,6,43765.195
22,31,34934.598
22,30,36832.496
22,29,13189.841
22,24,9384.517
22,23,22415.78
22,25,5858.0
22,27,3899.7598
22,28,4912.9863
22,26,3196.4822
22,10,9305.42
22,11,20723.553
22,12,18312.096
22,13,29311.469
22,32,33710.246
22,33,42138.34
22,14,26055.781
22,15,21458.027
22,7,39163.695
22,8,26998.67
22,9,25380.254
22,16,11023.004
22,17,7998.046
22,18,3199.2412
22,19,6471.058
22,20,1938.3075
22,21,7417.8896
22,34,18018.33
22,35,23319.236
22,36,9384.517
22,37,34644.098
22,38,264.0
22,39,20509.555
22,41,19572.037
10,1,56371.895
10,2,65775.52
10,3,72266.26
10,4,77935.3
10,5,80747.21
10,6,80080.016
10,31,68347.59
10,30,71183.984
10,29,37146.715
10,24,31176.326
10,23,43269.445
10,25,21289.688
10,27,17648.443
10,28,23214.203
10,26,11265.3955
10,22,8042.628
10,11,5783.6416
10,12,9207.768
10,13,22631.082
10,32,14025.867
10,33,30010.037
10,14,21646.441
10,15,17678.004
10,7,45169.05
10,8,39395.684
10,9,39281.605
10,16,8028.941
10,17,11825.231
10,18,9344.453
10,19,5664.873
10,20,9555.499
10,21,4509.4214
10,34,14897.1455
10,35,52474.055
10,36,31176.326
10,37,50189.94
10,38,10689.936
10,39,3490.9775
10,41,10310.602
11,1,37439.363
11,2,45757.02
11,3,51739.734
11,4,65351.902
11,5,94483.77
11,6,93841.86
11,31,74967.6
11,30,85839.266
11,29,57232.184
11,24,48822.062
11,23,29767.605
11,25,26719.836
11,27,22477.502
11,28,39613.617
11,26,13362.676
11,22,27359.16
11,10,5734.909
11,12,2080.447
11,13,8548.837
11,32,1860.0
11,33,9242.916
11,14,9685.038
11,15,7351.1426
11,7,28066.84
11,8,25513.225
11,9,25506.94
11,16,2302.3208
11,17,6471.052
11,18,11352.051
11,19,6088.4907
11,20,14052.681
11,21,5609.5483
11,34,5555.7817
11,35,73663.41
11,36,48822.062
11,37,36022.457
11,38,23273.113
11,39,312.0
11,41,2923.445
12,1,23846.533
12,2,30430.229
12,3,35213.707
12,4,46135.63
12,5,69361.63
12,6,68842.484
12,31,53904.168
12,30,62568.99
12,29,37416.92
12,24,30871.36
12,23,16641.953
12,25,16661.9
12,27,13514.653
12,28,28719.457
12,26,6965.696
12,22,17618.855
12,10,8479.83
12,11,2086.1042
12,13,3041.1719
12,32,6562.488
12,33,9712.522
12,14,3373.3123
12,15,1957.9397
12,7,16545.402
12,8,13617.644
12,9,13585.307
12,16,1029.6168
12,17,3477.1
12,18,7581.36
12,19,3959.517
12,20,8420.471
12,21,3707.4275
12,34,990.41034
12,35,50653.027
12,36,30871.36
12,37,21450.307
12,38,15755.253
12,39,1863.7673
12,41,118.79394
13,1,29155.19
13,2,36611.473
13,3,42077.516
13,4,54699.125
13,5,82095.27
13,6,81498.11
13,31,63756.547
13,30,74064.57
13,29,50102.11
13,24,41932.652
13,23,23901.922
13,25,28913.918
13,27,24718.045
13,28,44778.215
13,26,15549.914
13,22,30397.562
13,10,14741.39
13,11,6833.9155
13,12,4035.2605
13,32,8720.137
13,33,11034.557
13,14,5652.5454
13,15,4048.1208
13,7,20984.863
13,8,19157.033
13,9,19180.39
13,16,6787.887
13,17,11383.989
13,18,16844.178
13,19,11468.675
13,20,17822.66
13,21,11009.621
13,34,2895.9556
13,35,66024.79
13,36,41932.652
13,37,29539.604
13,38,27958.875
13,39,6808.393
13,41,3822.6643
32,1,35850.11
32,2,44231.254
32,3,50360.332
32,4,64548.637
32,5,95618.99
32,6,94950.27
32,31,74743.6
32,30,86470.97
32,29,68795.86
32,24,59285.055
32,23,38009.68
32,25,38643.84
32,27,33598.164
32,28,56711.98
32,26,22294.645
32,22,43825.78
32,10,13950.167
32,11,1860.0
32,12,6968.0986
32,13,14719.44
32,33,2979.273
32,14,9686.466
32,15,11949.133
32,7,26584.91
32,8,28294.357
32,9,28342.076
32,16,7525.268
32,17,13986.767
32,18,21324.91
32,19,13797.334
32,20,24894.906
32,21,13138.029
32,34,11443.97
32,35,86955.664
32,36,59285.055
32,37,44463.793
32,38,36799.734
32,39,3612.0
32,41,8229.538
33,1,20316.557
33,2,27034.85
33,3,32122.42
33,4,44182.992
33,5,71154.64
33,6,70583.445
33,31,53061.973
33,30,63363.125
33,29,47316.05
33,24,38694.656
33,23,20092.723
33,25,36852.742
33,27,32181.666
33,28,49344.22
33,26,21499.418
33,22,39343.406
33,10,23777.686
33,11,8036.915
33,12,8769.337
33,13,9447.747
33,32,3293.1323
33,14,2418.4338
33,15,3835.117
33,7,13322.496
33,8,15730.651
33,9,15814.789
33,16,13477.234
33,17,21638.348
33,18,23238.826
33,19,20463.654
33,20,24277.906
33,21,19823.227
33,34,5123.8164
33,35,68769.555
33,36,38694.656
33,37,25300.094
33,38,36357.79
33,39,10694.646
33,41,8371.198
14,1,12904.677
14,2,18205.104
14,3,22296.84
14,4,32095.322
14,5,54016.55
14,6,53548.938
14,31,39400.55
14,30,47801.527
14,29,32576.75
14,24,25581.867
14,23,11121.634
14,25,24417.041
14,27,20682.53
14,28,34300.78
14,26,12136.429
14,22,27054.955
14,10,21429.367
14,11,9487.704
14,12,3311.003
14,13,4460.651
14,32,9696.628
14,33,2040.6969
14,15,347.4994
14,7,7561.0664
14,8,7853.237
14,9,7922.059
14,16,7326.616
14,17,12244.157
14,18,13565.376
14,19,13480.537
14,20,14379.996
14,21,12956.768
14,34,846.66003
